	AveExpr	Coef	t	P.value	P.value.adj	Results
AT3G50820	11.5936	0.325129	0.02295	0.49102715	0.779866649	0
AT3G27160	8.76412	0.85531	1.13419	0.14520176	0.434173839	0
AT3G26650	12.08528	0.049675	0	0.9898126	0.999999999	0
AT3G18780	9.47031	-0.432459	-0.38571	0.35965191	0.675393914	0
AT3G61870	8.93334	0.122927	0	0.82270673	0.98225285	0
AT3G08940	10.68012	0.415127	0.5092	0.30830353	0.635719635	0
AT3G11930	8.26831	0.235073	0	0.70753531	0.932718334	0
AT3G13080	8.44662	-0.516505	-0.52614	0.31928603	0.641965528	0
AT3G02090	8.47069	-0.421848	-0.27157	0.42248311	0.735060105	0
AT3G10720	7.58888	1.568843	1.00779	0.233376	0.547628749	0
AT3G54890	12.42532	1.093597	6.32392	1.51e-06	7.8822e-05	1
AT3G59060	8.05591	-0.392102	-0.13576	0.53758581	0.81214323	0
AT3G12345	8.11601	0.633407	0.45863	0.41280222	0.721150477	0
AT3G13920	8.70479	-0.925211	-1.93538	0.03367971	0.186003864	0
AT3G59780	8.35243	-0.069533	0	0.90223	0.999999999	0
AT3G60240	8.09715	-0.879005	-1.24194	0.12115832	0.396073621	0
AT3G22380	8.74082	-0.714459	-1.18634	0.12699425	0.407287024	0
AT3G63540	8.4911	-0.372991	-0.14392	0.47534921	0.771780793	0
AT3G52880	8.68458	-0.410276	-0.28855	0.40106883	0.713164445	0
AT3G62030	10.52465	0.80253	2.26509	0.0171895	0.121491198	0
AT3G54500	8.48312	-0.89384	-1.59638	0.06415349	0.280047263	0
AT3G58780	11.40929	-1.625247	-3.99268	0.00034071	0.006368656	-1
AT3G53460	10.65555	0.333405	0.06172	0.47671032	0.772052953	0
AT3G14415	11.55368	-0.433286	-0.92892	0.18181074	0.489352308	0
AT3G26060	9.64908	-0.52839	-0.82679	0.21023464	0.519528998	0
AT4G22890	9.93776	-0.194511	0	0.72391823	0.942386408	0
AT4G22240	8.40631	-0.403628	-0.22693	0.43986072	0.744333165	0
AT4G23670	8.26745	-0.042061	0	0.94467986	0.999999999	0
AT4G09650	10.33809	-0.022629	0	0.97481835	0.999999999	0
AT4G24770	10.61433	0.412552	0.47691	0.31966185	0.641965528	0
AT4G14880	9.03671	-0.254874	0	0.62588914	0.88769102	0
