rank	gene	score
4134	MCM9	2.890924498434192e-05
4135	BRD8	2.8865296388874624e-05
4136	G2E3	2.8855717266458898e-05
4137	FAT4	2.8849785349789003e-05
4138	SPTA1	2.884198781079151e-05
4139	RPL34	2.8813455550722646e-05
4140	TAF1A	2.8800629432625225e-05
4141	NPPB	2.8771791742085704e-05
4142	ACO1	2.876489469678074e-05
4143	E4F1	2.876441879966758e-05
4144	CEBPZ	2.8757355944662206e-05
4145	LTBP1	2.8749965056282797e-05
4146	MRPS15	2.874882251090724e-05
4147	USP46	2.872718328009818e-05
4148	STK3	2.8724127756028468e-05
4149	IFIT1	2.8721347330458904e-05
4150	SLPI	2.8675907509103302e-05
4151	CHIA	2.8661021096495846e-05
4152	SMYD3	2.8634051380460078e-05
4153	NFKBIE	2.860654649533744e-05
4154	HNRNPR	2.8602601766641222e-05
4155	NUDCD1	2.8551682073407735e-05
4156	NUP107	2.8542286439984882e-05
4157	CNOT7	2.8520501955377943e-05
4158	CAND1	2.850918899948105e-05
4159	BUD31	2.850686276177976e-05
4160	NUP62	2.849020642497806e-05
4161	TNPO1	2.848997784405355e-05
4162	A1BG	2.848777161036389e-05
4163	TEAD2	2.8483614336350103e-05
4164	INVS	2.847176725806023e-05
4165	DSTN	2.8440505854975894e-05
4166	PIDD1	2.84246620540702e-05
4167	MUC13	2.8394820023103477e-05
4168	BAZ1B	2.8383678035054388e-05
4169	FZD4	2.837551289241702e-05
4170	ADRM1	2.8375402648189495e-05
4171	MUSK	2.8366498565238362e-05
4172	EHD1	2.8363070844351228e-05
4173	NDUFS3	2.8349022900134757e-05
4174	FBXW2	2.8344493328215086e-05
4175	TSC22D3	2.8344043449271807e-05
4176	DNAJC7	2.83266236259135e-05
4177	NISCH	2.8285928283856302e-05
4178	SHCBP1	2.8256407395638673e-05
4179	MAP4K1	2.8253784993359522e-05
4180	IL17D	2.8219477886781456e-05
4181	KCNJ3	2.821692036920862e-05
4182	WWTR1	2.8209770973015027e-05
4183	ARHGEF28	2.8200413496481278e-05
4184	TYMP	2.8194403249810586e-05
4185	PAFAH1B1	2.8192536525142934e-05
4186	WNK1	2.818794015322635e-05
4187	ACIN1	2.8186851475840896e-05
4188	GP2	2.8176646401856675e-05
4189	CLASP2	2.814712487852856e-05
4190	MTAP	2.811013176225018e-05
4191	ZRSR2	2.8109855215226918e-05
4192	ARID4A	2.8101807342528047e-05
4193	KIFC3	2.8095768130111117e-05
4194	CXCR6	2.806634361064409e-05
4195	RAB33B	2.8048483242167805e-05
4196	EIF3G	2.803819946976737e-05
4197	PACSIN2	2.802977086046504e-05
4198	CDK11A	2.802886813898133e-05
4199	PLPP2	2.8028387733349703e-05
4200	DYNC1H1	2.8005985132607367e-05
4201	CDR2	2.7988598932442975e-05
4202	BAG2	2.7975148502208898e-05
4203	SIL1	2.7966901282113628e-05
4204	WDR76	2.796662017680934e-05
4205	RNF213	2.7961613417421457e-05
4206	BCL7A	2.7945311567321826e-05
4207	DDX56	2.794099093753414e-05
4208	TACSTD2	2.7929828291825803e-05
4209	RHOD	2.792105388160734e-05
4210	SUPT7L	2.7908676523879026e-05
4211	IFNAR2	2.789551147995918e-05
4212	MRPL2	2.7888939683421432e-05
4213	CFH	2.788655673290312e-05
4214	ANXA11	2.7885393063165917e-05
4215	CENPK	2.7863989329160587e-05
4216	BAG6	2.7858892837774254e-05
4217	BAG5	2.784793239915047e-05
4218	COL2A1	2.783681559813944e-05
4219	OTUD1	2.7833163743838796e-05
4220	CAPZA2	2.780248975627887e-05
